OrderID,OrderDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,Cost,Profit,PaymentMethod,Channel
O000023,2023-03-29,C0707,P0053,S004,2,14083.25,0.05,28166.5,1408.32,26758.18,18429.66,8328.52,UPI,Store
O000024,2023-11-18,C0681,P0073,S015,1,57746.18,0.05,57746.18,2887.31,54858.87,35344.78,19514.09,Cash,Online
O000025,2023-10-15,C0409,P0044,S018,2,19047.72,0.15,38095.44,5714.32,32381.12,30935.98,1445.14,Debit Card,Online
O000026,2024-03-11,C0272,P0075,S001,2,12119.83,0.0,24239.66,0.0,24239.66,15547.08,8692.58,UPI,Store
O000027,2025-12-16,C0574,P0024,S004,2,7080.82,0.2,14161.64,2832.33,11329.31,12043.64,-714.33,UPI,Online
O000028,2023-12-30,C0605,P0036,S020,6,44674.03,0.05,268044.18,13402.21,254641.97,193777.92,60864.05,Net Banking,Online
O000029,2023-08-18,C0703,P0067,S008,1,19601.26,0.15,19601.26,2940.19,16661.07,12274.79,4386.28,Net Banking,Store
O000030,2023-05-15,C0200,P0008,S017,1,37037.97,0.05,37037.97,1851.9,35186.07,27705.22,7480.85,UPI,Online
O000031,2023-08-06,C0357,P0031,S015,7,39241.23,0.1,274688.61,27468.86,247219.75,167670.58,79549.17,Debit Card,Online
O000032,2023-05-26,C0826,P0059,S009,3,50073.47,0.0,150220.41,0.0,150220.41,125479.53,24740.88,Cash,Online
O000033,2024-09-20,C0832,P0075,S009,5,12119.83,0.2,60599.15,12119.83,48479.32,38867.7,9611.62,Credit Card,Store
O000034,2024-04-05,C0813,P0088,S007,2,55752.39,0.0,111504.78,0.0,111504.78,85290.12,26214.66,Credit Card,Online
O000035,2024-06-29,C0773,P0001,S018,4,52107.98,0.1,208431.92,20843.19,187588.73,151786.12,35802.61,Cash,Online
O000036,2025-07-01,C0083,P0010,S023,2,15555.2,0.0,31110.4,0.0,31110.4,22572.0,8538.4,UPI,Online
O000037,2024-09-28,C0288,P0044,S003,2,19047.72,0.15,38095.44,5714.32,32381.12,30935.98,1445.14,Net Banking,Online
O000038,2023-06-20,C0283,P0109,S007,3,41295.94,0.1,123887.82,12388.78,111499.04,85074.96,26424.08,Net Banking,Store
O000039,2024-02-17,C0333,P0092,S004,6,2788.32,0.0,16729.92,0.0,16729.92,11328.0,5401.92,Debit Card,Online
O000040,2023-12-09,C0488,P0086,S017,4,35098.82,0.1,140395.28,14039.53,126355.75,87138.24,39217.51,UPI,Online
O000041,2025-06-25,C0184,P0004,S008,1,10453.61,0.0,10453.61,0.0,10453.61,6998.15,3455.46,Debit Card,Online
O000042,2023-12-03,C0789,P0060,S021,1,41509.57,0.0,41509.57,0.0,41509.57,34688.57,6821.0,Credit Card,Store
O000043,2023-06-01,C0503,P0013,S014,4,1589.34,0.15,6357.36,953.6,5403.76,4516.56,887.2,Net Banking,Online
O000044,2025-03-17,C0084,P0096,S007,5,23648.17,0.15,118240.85,17736.13,100504.72,83351.2,17153.52,Net Banking,Online
O000045,2024-04-14,C0812,P0117,S018,7,65800.05,0.2,460600.35,92120.07,368480.28,306231.45,62248.83,Cash,Store
O000046,2023-04-16,C0313,P0047,S022,1,53543.09,0.25,53543.09,13385.77,40157.32,41755.93,-1598.61,UPI,Store
O000047,2025-01-25,C0565,P0002,S018,1,35438.99,0.2,35438.99,7087.8,28351.19,29338.14,-986.95,Cash,Store
O000048,2023-08-19,C0419,P0080,S013,3,17401.68,0.05,52205.04,2610.25,49594.79,35238.87,14355.92,Debit Card,Store
O000049,2025-08-09,C0355,P0092,S017,4,2788.32,0.2,11153.28,2230.66,8922.62,7552.0,1370.62,Debit Card,Online
O000050,2025-07-01,C0332,P0006,S020,1,27051.68,0.25,27051.68,6762.92,20288.76,19932.32,356.44,Credit Card,Store
O000051,2024-02-10,C0411,P0044,S012,7,19047.72,0.15,133334.04,20000.11,113333.93,108275.93,5058.0,Net Banking,Online
O000052,2024-08-31,C0069,P0097,S007,5,15892.42,0.2,79462.1,15892.42,63569.68,67322.75,-3753.07,Credit Card,Store
O000053,2024-09-14,C0693,P0035,S001,6,15887.32,0.1,95323.92,9532.39,85791.53,71801.22,13990.31,Debit Card,Store
O000054,2024-12-17,C0648,P0051,S022,4,22992.05,0.15,91968.2,13795.23,78172.97,69699.08,8473.89,Debit Card,Online
O000055,2023-03-17,C0515,P0086,S019,1,35098.82,0.25,35098.82,8774.7,26324.12,21784.56,4539.56,Debit Card,Online
O000056,2023-12-23,C0887,P0011,S014,4,27719.22,0.0,110876.88,0.0,110876.88,71296.52,39580.36,UPI,Online
O000057,2023-07-06,C0553,P0102,S002,2,43277.59,0.05,86555.18,4327.76,82227.42,53000.5,29226.92,Credit Card,Online
O000058,2025-02-03,C0389,P0074,S018,6,9219.01,0.15,55314.06,8297.11,47016.95,39140.16,7876.79,Net Banking,Online
O000059,2023-03-17,C0610,P0053,S001,2,14083.25,0.15,28166.5,4224.97,23941.53,18429.66,5511.87,Net Banking,Store
O000060,2024-07-20,C0800,P0049,S002,3,14503.88,0.1,43511.64,4351.16,39160.48,37304.07,1856.41,Debit Card,Online
O000061,2025-03-08,C0739,P0001,S003,6,52107.98,0.15,312647.88,46897.18,265750.7,227679.18,38071.52,Net Banking,Store
O000062,2025-11-05,C0573,P0072,S017,7,19069.26,0.05,133484.82,6674.24,126810.58,81647.79,45162.79,Net Banking,Store
O000063,2023-11-12,C0626,P0107,S013,2,8889.67,0.0,17779.34,0.0,17779.34,11652.78,6126.56,Cash,Online
O000064,2023-01-09,C0983,P0044,S025,4,19047.72,0.2,76190.88,15238.18,60952.7,61871.96,-919.26,Debit Card,Online
O000065,2025-03-04,C0685,P0109,S010,7,41295.94,0.05,289071.58,14453.58,274618.0,198508.24,76109.76,Cash,Online
O000066,2023-01-02,C0704,P0071,S002,6,34630.81,0.2,207784.86,41556.97,166227.89,153154.14,13073.75,Net Banking,Online
O000067,2023-03-14,C0667,P0072,S016,5,19069.26,0.0,95346.3,0.0,95346.3,58319.85,37026.45,Net Banking,Store
O000068,2025-12-21,C0956,P0079,S012,5,43495.23,0.15,217476.15,32621.42,184854.73,183715.85,1138.88,Debit Card,Online
O000069,2025-08-03,C0927,P0029,S022,3,53178.63,0.25,159535.89,39883.97,119651.92,116099.88,3552.04,UPI,Online
O000070,2025-02-14,C0345,P0087,S020,6,4931.85,0.15,29591.1,4438.66,25152.44,24516.06,636.38,Net Banking,Store
O000071,2025-07-04,C0737,P0117,S010,1,65800.05,0.15,65800.05,9870.01,55930.04,43747.35,12182.69,Cash,Online
O000072,2023-03-24,C0653,P0099,S007,3,11507.58,0.2,34522.74,6904.55,27618.19,26950.92,667.27,Debit Card,Store
O000073,2023-04-08,C0547,P0053,S002,1,14083.25,0.2,14083.25,2816.65,11266.6,9214.83,2051.77,Cash,Online
O000074,2023-11-26,C0516,P0092,S001,5,2788.32,0.0,13941.6,0.0,13941.6,9440.0,4501.6,Credit Card,Store
O000075,2023-01-27,C0898,P0110,S004,7,60107.62,0.05,420753.34,21037.67,399715.67,265538.77,134176.9,UPI,Online
O000076,2025-08-31,C0912,P0100,S018,4,23224.75,0.1,92899.0,9289.9,83609.1,70234.8,13374.3,Net Banking,Online
O000077,2023-03-03,C0901,P0030,S005,1,51804.68,0.15,51804.68,7770.7,44033.98,38518.07,5515.91,Cash,Store
O000078,2024-08-19,C0306,P0006,S006,6,27051.68,0.05,162310.08,8115.5,154194.58,119593.92,34600.66,Cash,Online
O000079,2025-07-24,C0352,P0110,S014,3,60107.62,0.05,180322.86,9016.14,171306.72,113802.33,57504.39,Cash,Store
O000080,2025-03-16,C0090,P0022,S011,7,49779.42,0.2,348455.94,69691.19,278764.75,265601.42,13163.33,Debit Card,Store
O000081,2023-09-15,C0806,P0091,S024,4,17296.62,0.2,69186.48,13837.3,55349.18,46043.4,9305.78,Debit Card,Online
O000082,2024-05-30,C0688,P0020,S012,3,8872.99,0.0,26618.97,0.0,26618.97,20194.29,6424.68,Debit Card,Store
O000083,2024-08-23,C0983,P0054,S025,6,58600.33,0.1,351601.98,35160.2,316441.78,250766.4,65675.38,UPI,Online
O000084,2025-04-21,C0737,P0032,S016,7,15930.32,0.0,111512.24,0.0,111512.24,95674.74,15837.5,Cash,Online
O000085,2024-04-12,C0207,P0006,S016,5,27051.68,0.2,135258.4,27051.68,108206.72,99661.6,8545.12,UPI,Online
O000086,2023-11-09,C0295,P0086,S013,3,35098.82,0.1,105296.46,10529.65,94766.81,65353.68,29413.13,Debit Card,Store
O000087,2025-05-21,C0397,P0046,S020,2,31990.41,0.05,63980.82,3199.04,60781.78,55295.92,5485.86,Credit Card,Online
O000088,2025-08-29,C0759,P0093,S022,6,22690.33,0.05,136141.98,6807.1,129334.88,92129.16,37205.72,Net Banking,Online
O000089,2024-06-19,C0416,P0104,S016,7,3798.26,0.0,26587.82,0.0,26587.82,19484.71,7103.11,Net Banking,Store
O000090,2023-01-31,C0968,P0024,S002,2,7080.82,0.05,14161.64,708.08,13453.56,12043.64,1409.92,Credit Card,Store
O000091,2024-07-02,C0611,P0081,S013,4,8857.67,0.05,35430.68,1771.53,33659.15,21890.72,11768.43,Cash,Store
O000092,2025-09-01,C0368,P0065,S008,4,25975.98,0.15,103903.92,15585.59,88318.33,81009.96,7308.37,Net Banking,Online
O000093,2025-12-20,C0963,P0036,S005,3,44674.03,0.15,134022.09,20103.31,113918.78,96888.96,17029.82,Credit Card,Online
O000094,2024-03-15,C0543,P0044,S024,4,19047.72,0.2,76190.88,15238.18,60952.7,61871.96,-919.26,UPI,Online
O000095,2023-06-14,C0306,P0073,S018,5,57746.18,0.1,288730.9,28873.09,259857.81,176723.9,83133.91,Cash,Online
O000096,2024-09-19,C0392,P0117,S016,7,65800.05,0.0,460600.35,0.0,460600.35,306231.45,154368.9,Credit Card,Store
O000097,2025-06-29,C0754,P0112,S023,1,57105.32,0.2,57105.32,11421.06,45684.26,38736.51,6947.75,Debit Card,Store
O000098,2025-11-01,C0085,P0042,S012,5,61284.65,0.0,306423.25,0.0,306423.25,210851.45,95571.8,Cash,Store
O000099,2023-02-26,C0779,P0048,S006,3,6356.96,0.0,19070.88,0.0,19070.88,15014.97,4055.91,Net Banking,Online
O000100,2023-11-15,C0110,P0119,S006,3,2911.33,0.05,8733.99,436.7,8297.29,5767.89,2529.4,Net Banking,Store
O000101,2024-06-07,C0697,P0028,S019,3,16489.02,0.0,49467.06,0.0,49467.06,35276.34,14190.72,UPI,Online
O000102,2023-04-18,C0721,P0088,S022,7,55752.39,0.15,390266.73,58540.01,331726.72,298515.42,33211.3,Debit Card,Online
O000103,2025-08-29,C0589,P0102,S005,5,43277.59,0.05,216387.95,10819.4,205568.55,132501.25,73067.3,Debit Card,Online
O000104,2023-05-03,C0185,P0008,S003,2,37037.97,0.15,74075.94,11111.39,62964.55,55410.44,7554.11,UPI,Online
O000105,2024-12-30,C0572,P0065,S023,1,25975.98,0.2,25975.98,5195.2,20780.78,20252.49,528.29,Net Banking,Online
O000106,2025-10-03,C0830,P0016,S015,1,41548.13,0.25,41548.13,10387.03,31161.1,27121.57,4039.53,Net Banking,Online
O000107,2025-01-20,C0283,P0069,S021,5,24149.0,0.15,120745.0,18111.75,102633.25,94428.95,8204.3,Net Banking,Online
O000108,2025-04-16,C0920,P0059,S016,4,50073.47,0.1,200293.88,20029.39,180264.49,167306.04,12958.45,UPI,Store
O000109,2023-10-16,C0138,P0112,S011,7,57105.32,0.15,399737.24,59960.59,339776.65,271155.57,68621.08,Cash,Online
O000110,2025-06-25,C0893,P0007,S022,6,30383.16,0.15,182298.96,27344.84,154954.12,141336.96,13617.16,Credit Card,Online
O000111,2024-04-03,C0335,P0049,S015,6,14503.88,0.0,87023.28,0.0,87023.28,74608.14,12415.14,Credit Card,Online
O000112,2023-03-09,C0701,P0077,S001,2,7612.28,0.1,15224.56,1522.46,13702.1,10632.18,3069.92,Cash,Online
O000113,2024-02-06,C0230,P0088,S023,6,55752.39,0.15,334514.34,50177.15,284337.19,255870.36,28466.83,Cash,Store
O000114,2024-01-19,C0621,P0065,S004,1,25975.98,0.0,25975.98,0.0,25975.98,20252.49,5723.49,Net Banking,Store
O000115,2024-07-25,C0653,P0104,S008,3,3798.26,0.15,11394.78,1709.22,9685.56,8350.59,1334.97,Cash,Online
O000116,2023-10-18,C0491,P0023,S019,4,35515.92,0.15,142063.68,21309.55,120754.13,86675.84,34078.29,UPI,Online
O000117,2024-05-21,C0854,P0072,S001,5,19069.26,0.05,95346.3,4767.32,90578.98,58319.85,32259.13,UPI,Online
O000118,2024-04-14,C0909,P0057,S021,7,55115.43,0.2,385808.01,77161.6,308646.41,282193.66,26452.75,Cash,Online
O000119,2023-12-25,C0159,P0073,S008,4,57746.18,0.2,230984.72,46196.94,184787.78,141379.12,43408.66,Credit Card,Online
O000120,2025-02-02,C0817,P0070,S022,3,9226.48,0.1,27679.44,2767.94,24911.5,20874.93,4036.57,Net Banking,Online
O000121,2023-12-01,C0660,P0060,S001,4,41509.57,0.05,166038.28,8301.91,157736.37,138754.28,18982.09,Cash,Online
O000122,2025-04-19,C0524,P0004,S017,1,10453.61,0.1,10453.61,1045.36,9408.25,6998.15,2410.1,Net Banking,Online
O000123,2023-10-02,C0122,P0011,S018,6,27719.22,0.05,166315.32,8315.77,157999.55,106944.78,51054.77,Credit Card,Store
O000124,2025-08-05,C0606,P0106,S016,6,6169.68,0.05,37018.08,1850.9,35167.18,25868.58,9298.6,UPI,Online
O000125,2024-02-05,C0381,P0035,S007,3,15887.32,0.1,47661.96,4766.2,42895.76,35900.61,6995.15,Net Banking,Store
O000126,2023-02-14,C0038,P0056,S001,6,54159.05,0.0,324954.3,0.0,324954.3,206696.04,118258.26,Net Banking,Online
O000127,2023-06-14,C0174,P0046,S005,6,31990.41,0.15,191942.46,28791.37,163151.09,165887.76,-2736.67,Debit Card,Online
O000128,2025-06-02,C0090,P0036,S020,4,44674.03,0.0,178696.12,0.0,178696.12,129185.28,49510.84,UPI,Online
O000129,2025-08-13,C0300,P0031,S004,2,39241.23,0.1,78482.46,7848.25,70634.21,47905.88,22728.33,UPI,Online
O000130,2023-08-21,C0176,P0068,S011,7,20811.71,0.25,145681.97,36420.49,109261.48,103965.26,5296.22,Debit Card,Online
O000131,2024-10-21,C0859,P0033,S006,6,22156.53,0.15,132939.18,19940.88,112998.3,106343.52,6654.78,Cash,Online
O000132,2024-09-21,C0287,P0111,S003,4,2547.56,0.1,10190.24,1019.02,9171.22,7135.56,2035.66,Cash,Online
O000133,2023-05-27,C0420,P0105,S003,3,51715.72,0.0,155147.16,0.0,155147.16,94408.74,60738.42,Net Banking,Store
O000134,2024-05-10,C0744,P0040,S001,1,7245.57,0.15,7245.57,1086.84,6158.73,5708.62,450.11,Debit Card,Store
O000135,2025-01-30,C0109,P0071,S018,1,34630.81,0.2,34630.81,6926.16,27704.65,25525.69,2178.96,Debit Card,Online
O000136,2025-11-25,C0356,P0115,S025,2,6929.5,0.0,13859.0,0.0,13859.0,8694.4,5164.6,Debit Card,Store
O000137,2025-07-18,C0199,P0114,S020,7,39712.17,0.15,277985.19,41697.78,236287.41,222001.01,14286.4,UPI,Store
O000138,2023-04-18,C0518,P0044,S016,3,19047.72,0.0,57143.16,0.0,57143.16,46403.97,10739.19,UPI,Online
O000139,2023-09-18,C0844,P0055,S011,7,31377.99,0.05,219645.93,10982.3,208663.63,168016.1,40647.53,Cash,Store
O000140,2024-04-23,C0546,P0090,S010,6,13870.6,0.25,83223.6,20805.9,62417.7,52041.18,10376.52,Credit Card,Store
O000141,2023-06-15,C0411,P0076,S001,2,19322.21,0.25,38644.42,9661.1,28983.32,23931.4,5051.92,Credit Card,Online
O000142,2024-09-17,C0087,P0057,S016,6,55115.43,0.1,330692.58,33069.26,297623.32,241880.28,55743.04,Net Banking,Online
O000143,2023-01-10,C0936,P0069,S005,7,24149.0,0.05,169043.0,8452.15,160590.85,132200.53,28390.32,Credit Card,Online
O000144,2023-05-05,C0464,P0008,S013,2,37037.97,0.2,74075.94,14815.19,59260.75,55410.44,3850.31,Cash,Store
O000145,2023-02-21,C0562,P0113,S010,3,23633.23,0.2,70899.69,14179.94,56719.75,56990.94,-271.19,Credit Card,Store
O000146,2023-11-20,C0502,P0092,S018,4,2788.32,0.25,11153.28,2788.32,8364.96,7552.0,812.96,UPI,Online
O000147,2025-04-15,C0508,P0015,S010,3,57162.78,0.1,171488.34,17148.83,154339.51,105778.5,48561.01,Credit Card,Store
O000148,2023-07-14,C0101,P0014,S019,6,22856.03,0.0,137136.18,0.0,137136.18,114266.46,22869.72,Net Banking,Online
O000149,2025-12-17,C0457,P0038,S001,3,15584.94,0.0,46754.82,0.0,46754.82,29220.93,17533.89,Debit Card,Online
O000150,2023-10-23,C0421,P0119,S016,4,2911.33,0.1,11645.32,1164.53,10480.79,7690.52,2790.27,Debit Card,Store
O000151,2023-02-19,C0774,P0091,S005,1,17296.62,0.1,17296.62,1729.66,15566.96,11510.85,4056.11,UPI,Store
O000152,2024-01-03,C0428,P0113,S011,2,23633.23,0.1,47266.46,4726.65,42539.81,37993.96,4545.85,Debit Card,Online
O000153,2025-03-30,C0836,P0093,S015,7,22690.33,0.1,158832.31,15883.23,142949.08,107484.02,35465.06,Debit Card,Online
O000154,2023-04-27,C0656,P0091,S023,6,17296.62,0.05,103779.72,5188.99,98590.73,69065.1,29525.63,Debit Card,Online
O000155,2023-03-20,C0128,P0014,S006,7,22856.03,0.05,159992.21,7999.61,151992.6,133310.87,18681.73,Credit Card,Online
O000156,2025-07-19,C0884,P0020,S014,7,8872.99,0.25,62110.93,15527.73,46583.2,47120.01,-536.81,Net Banking,Online
O000157,2024-10-10,C0409,P0067,S001,1,19601.26,0.2,19601.26,3920.25,15681.01,12274.79,3406.22,Debit Card,Online
O000158,2024-01-12,C0706,P0050,S007,3,11790.54,0.05,35371.62,1768.58,33603.04,26410.32,7192.72,Net Banking,Store
O000159,2025-04-08,C0283,P0030,S010,1,51804.68,0.1,51804.68,5180.47,46624.21,38518.07,8106.14,Cash,Store
O000160,2025-07-14,C0752,P0048,S001,7,6356.96,0.0,44498.72,0.0,44498.72,35034.93,9463.79,UPI,Online
O000161,2024-01-29,C0900,P0102,S019,5,43277.59,0.0,216387.95,0.0,216387.95,132501.25,83886.7,UPI,Store
O000162,2024-09-07,C0028,P0011,S015,1,27719.22,0.15,27719.22,4157.88,23561.34,17824.13,5737.21,Net Banking,Store
O000163,2023-01-12,C0735,P0092,S012,2,2788.32,0.0,5576.64,0.0,5576.64,3776.0,1800.64,UPI,Store
O000164,2023-12-02,C0749,P0077,S017,7,7612.28,0.2,53285.96,10657.19,42628.77,37212.63,5416.14,Cash,Store
O000165,2024-10-14,C0293,P0067,S004,6,19601.26,0.05,117607.56,5880.38,111727.18,73648.74,38078.44,Debit Card,Online
O000166,2023-08-05,C0397,P0033,S006,3,22156.53,0.05,66469.59,3323.48,63146.11,53171.76,9974.35,Net Banking,Store
O000167,2025-12-22,C0409,P0076,S010,1,19322.21,0.0,19322.21,0.0,19322.21,11965.7,7356.51,Debit Card,Store
O000168,2025-11-30,C0447,P0074,S018,5,9219.01,0.0,46095.05,0.0,46095.05,32616.8,13478.25,Credit Card,Store
O000169,2023-10-10,C0420,P0112,S018,3,57105.32,0.1,171315.96,17131.6,154184.36,116209.53,37974.83,Credit Card,Store
O000170,2024-03-10,C0904,P0073,S024,4,57746.18,0.05,230984.72,11549.24,219435.48,141379.12,78056.36,Net Banking,Store
O000171,2023-07-27,C0932,P0001,S019,5,52107.98,0.1,260539.9,26053.99,234485.91,189732.65,44753.26,Debit Card,Online
O000172,2024-07-06,C0944,P0098,S009,7,15533.41,0.05,108733.87,5436.69,103297.18,80965.78,22331.4,Cash,Online
O000173,2023-05-16,C0474,P0076,S002,7,19322.21,0.1,135255.47,13525.55,121729.92,83759.9,37970.02,UPI,Online
O000174,2024-03-04,C0697,P0011,S021,6,27719.22,0.2,166315.32,33263.06,133052.26,106944.78,26107.48,Cash,Online
O000175,2024-08-31,C0019,P0009,S015,2,35362.09,0.15,70724.18,10608.63,60115.55,58724.74,1390.81,UPI,Online
O000176,2024-11-01,C0019,P0051,S011,6,22992.05,0.1,137952.3,13795.23,124157.07,104548.62,19608.45,Debit Card,Online
O000177,2024-10-15,C0731,P0115,S006,5,6929.5,0.2,34647.5,6929.5,27718.0,21736.0,5982.0,Net Banking,Store
O000178,2023-08-31,C0664,P0009,S011,5,35362.09,0.0,176810.45,0.0,176810.45,146811.85,29998.6,Cash,Online
O000179,2025-05-18,C0097,P0044,S017,6,19047.72,0.15,114286.32,17142.95,97143.37,92807.94,4335.43,UPI,Store
O000180,2025-01-28,C0664,P0097,S010,5,15892.42,0.15,79462.1,11919.32,67542.78,67322.75,220.03,Net Banking,Online
O000181,2025-04-05,C0631,P0032,S021,7,15930.32,0.0,111512.24,0.0,111512.24,95674.74,15837.5,Debit Card,Store
O000182,2024-05-27,C0747,P0043,S005,6,48231.87,0.15,289391.22,43408.68,245982.54,192057.66,53924.88,UPI,Online
O000183,2025-09-05,C0514,P0001,S009,3,52107.98,0.05,156323.94,7816.2,148507.74,113839.59,34668.15,Cash,Online
O000184,2024-03-03,C0761,P0096,S004,6,23648.17,0.25,141889.02,35472.25,106416.77,100021.44,6395.33,Credit Card,Store
O000185,2025-06-02,C0763,P0002,S018,6,35438.99,0.2,212633.94,42526.79,170107.15,176028.84,-5921.69,Credit Card,Store
O000186,2023-08-12,C0595,P0094,S013,4,65163.26,0.05,260653.04,13032.65,247620.39,171003.32,76617.07,Cash,Store
O000187,2023-09-29,C0551,P0117,S021,1,65800.05,0.05,65800.05,3290.0,62510.05,43747.35,18762.7,Credit Card,Online
O000188,2024-07-31,C0798,P0028,S002,3,16489.02,0.1,49467.06,4946.71,44520.35,35276.34,9244.01,UPI,Online
O000189,2024-09-01,C0176,P0094,S012,4,65163.26,0.05,260653.04,13032.65,247620.39,171003.32,76617.07,Debit Card,Store
O000190,2025-03-28,C0983,P0101,S011,1,37009.27,0.25,37009.27,9252.32,27756.95,24095.67,3661.28,Credit Card,Online
O000191,2023-11-22,C0894,P0113,S020,6,23633.23,0.05,141799.38,7089.97,134709.41,113981.88,20727.53,Credit Card,Store
O000192,2025-08-14,C0534,P0021,S002,1,51473.58,0.2,51473.58,10294.72,41178.86,44445.99,-3267.13,Cash,Store
O000193,2023-12-28,C0904,P0047,S010,4,53543.09,0.0,214172.36,0.0,214172.36,167023.72,47148.64,Debit Card,Store
O000194,2024-08-08,C0722,P0116,S014,1,11809.02,0.15,11809.02,1771.35,10037.67,9110.8,926.87,Cash,Store
O000195,2025-10-18,C0421,P0037,S013,5,25779.41,0.05,128897.05,6444.85,122452.2,81771.3,40680.9,UPI,Online
O000196,2024-08-14,C0432,P0067,S018,1,19601.26,0.15,19601.26,2940.19,16661.07,12274.79,4386.28,Net Banking,Store
O000197,2025-01-17,C0610,P0089,S021,5,22128.53,0.05,110642.65,5532.13,105110.52,80395.75,24714.77,Credit Card,Online
O000198,2025-09-22,C0251,P0067,S017,5,19601.26,0.1,98006.3,9800.63,88205.67,61373.95,26831.72,UPI,Store
O000199,2025-12-04,C0553,P0083,S020,1,39997.52,0.2,39997.52,7999.5,31998.02,26505.43,5492.59,Net Banking,Store
O000200,2024-07-01,C0412,P0056,S019,7,54159.05,0.0,379113.35,0.0,379113.35,241145.38,137967.97,Net Banking,Online
O000201,2024-04-01,C0535,P0115,S003,5,6929.5,0.1,34647.5,3464.75,31182.75,21736.0,9446.75,Credit Card,Online
O000202,2023-08-04,C0406,P0017,S018,3,19951.2,0.2,59853.6,11970.72,47882.88,38770.86,9112.02,Cash,Online
O000203,2024-08-12,C0091,P0026,S020,2,5744.15,0.05,11488.3,574.42,10913.88,8435.94,2477.94,Debit Card,Online
O000204,2025-10-03,C0717,P0050,S009,4,11790.54,0.15,47162.16,7074.32,40087.84,35213.76,4874.08,Credit Card,Store
O000205,2024-06-17,C0494,P0069,S013,4,24149.0,0.0,96596.0,0.0,96596.0,75543.16,21052.84,Debit Card,Online
O000206,2024-01-17,C0197,P0090,S007,7,13870.6,0.0,97094.2,0.0,97094.2,60714.71,36379.49,Credit Card,Online
O000207,2023-04-28,C0226,P0071,S008,2,34630.81,0.0,69261.62,0.0,69261.62,51051.38,18210.24,UPI,Store
O000208,2024-03-03,C0517,P0050,S005,3,11790.54,0.15,35371.62,5305.74,30065.88,26410.32,3655.56,Credit Card,Online
O000209,2023-09-17,C0798,P0086,S019,1,35098.82,0.15,35098.82,5264.82,29834.0,21784.56,8049.44,Credit Card,Online
