ProductID,ProductName,Category,BrandTier,UnitCost,UnitPrice
P0087,Calculator 2,Office Supplies,Standard,4086.01,4931.85
P0088,Calculator 3,Office Supplies,Budget,42645.06,55752.39
P0089,Calculator 4,Office Supplies,Budget,16079.15,22128.53
P0090,Calculator 5,Office Supplies,Standard,8673.53,13870.6
P0091,Backpack 1,Accessories,Standard,11510.85,17296.62
P0092,Backpack 2,Accessories,Premium,1888.0,2788.32
P0093,Backpack 3,Accessories,Standard,15354.86,22690.33
P0094,Backpack 4,Accessories,Premium,42750.83,65163.26
P0095,Backpack 5,Accessories,Budget,39450.59,48060.1
P0096,Mouse 1,Accessories,Premium,16670.24,23648.17
P0097,Mouse 2,Accessories,Standard,13464.55,15892.42
P0098,Mouse 3,Accessories,Standard,11566.54,15533.41
P0099,Mouse 4,Accessories,Premium,8983.64,11507.58
P0100,Mouse 5,Accessories,Standard,17558.7,23224.75
P0101,Keyboard 1,Accessories,Premium,24095.67,37009.27
P0102,Keyboard 2,Accessories,Standard,26500.25,43277.59
P0103,Keyboard 3,Accessories,Budget,23560.81,37812.72
P0104,Keyboard 4,Accessories,Budget,2783.53,3798.26
P0105,Keyboard 5,Accessories,Budget,31469.58,51715.72
P0106,USB Cable 1,Accessories,Standard,4311.43,6169.68
P0107,USB Cable 2,Accessories,Premium,5826.39,8889.67
P0108,USB Cable 3,Accessories,Standard,32595.9,51654.1
P0109,USB Cable 4,Accessories,Standard,28358.32,41295.94
P0110,USB Cable 5,Accessories,Budget,37934.11,60107.62
P0111,Phone Case 1,Accessories,Budget,1783.89,2547.56
P0112,Phone Case 2,Accessories,Premium,38736.51,57105.32
P0113,Phone Case 3,Accessories,Budget,18996.98,23633.23
P0114,Phone Case 4,Accessories,Standard,31714.43,39712.17
P0115,Phone Case 5,Accessories,Budget,4347.2,6929.5
P0116,Power Bank 1,Accessories,Budget,9110.8,11809.02
P0117,Power Bank 2,Accessories,Standard,43747.35,65800.05
P0118,Power Bank 3,Accessories,Standard,13947.14,18125.18
P0119,Power Bank 4,Accessories,Standard,1922.63,2911.33
P0120,Power Bank 5,Accessories,Premium,367.85,557.2
