OrderID,ReturnDate,ReturnReason
O001615,2023-10-29,Wrong Product
O001624,2023-03-20,Quality Issue
O001626,2025-01-31,Wrong Product
O001631,2023-06-02,Late Delivery
O001665,2025-07-06,Customer Changed Mind
O001689,2023-03-23,Late Delivery
O001696,2025-05-09,Damaged
O001713,2023-04-08,Late Delivery
O001727,2023-02-22,Customer Changed Mind
O001736,2024-11-16,Late Delivery
O001754,2024-10-02,Late Delivery
O001776,2024-08-24,Quality Issue
O001786,2025-07-27,Damaged
O001804,2025-01-12,Damaged
O001829,2025-01-24,Customer Changed Mind
O001836,2023-07-06,Late Delivery
O001838,2023-10-02,Quality Issue
O001855,2023-12-30,Quality Issue
O001862,2025-05-23,Customer Changed Mind
O001872,2024-11-16,Wrong Product
O001896,2023-01-18,Wrong Product
O001913,2025-11-15,Damaged
O001929,2024-06-15,Quality Issue
O001944,2023-06-29,Customer Changed Mind
O001959,2025-03-02,Late Delivery
O001996,2023-05-22,Damaged
O002019,2024-04-21,Damaged
O002056,2023-08-05,Quality Issue
O002078,2024-08-04,Late Delivery
O002085,2024-07-10,Wrong Product
O002132,2024-08-07,Customer Changed Mind
O002146,2024-09-17,Late Delivery
O002147,2025-01-30,Late Delivery
O002161,2025-12-05,Damaged
O002163,2023-02-14,Quality Issue
O002178,2024-08-12,Customer Changed Mind
O002197,2025-01-01,Damaged
O002206,2024-11-16,Damaged
O002229,2023-04-14,Quality Issue
O002241,2025-12-22,Quality Issue
O002268,2023-01-27,Quality Issue
O002272,2023-10-24,Quality Issue
O002325,2024-08-29,Late Delivery
O002333,2025-10-19,Quality Issue
O002339,2025-02-22,Quality Issue
O002370,2025-04-03,Customer Changed Mind
O002380,2024-03-05,Quality Issue
O002384,2025-12-09,Damaged
O002403,2025-12-04,Damaged
O002479,2024-09-10,Quality Issue
O002507,2025-06-17,Damaged
O002522,2025-09-08,Wrong Product
O002530,2024-04-10,Damaged
O002532,2025-03-10,Damaged
O002565,2023-02-24,Late Delivery
O002576,2025-01-29,Customer Changed Mind
O002601,2024-11-17,Damaged
O002604,2025-10-06,Late Delivery
O002607,2025-02-01,Wrong Product
O002612,2025-07-14,Wrong Product
O002643,2024-04-04,Quality Issue
O002646,2023-12-10,Wrong Product
O002647,2023-03-13,Customer Changed Mind
O002649,2025-07-03,Damaged
O002651,2023-08-29,Wrong Product
O002656,2024-12-19,Damaged
O002657,2023-11-07,Quality Issue
O002665,2023-02-27,Wrong Product
O002666,2025-01-08,Customer Changed Mind
O002673,2023-10-08,Quality Issue
O002682,2024-08-19,Wrong Product
O002706,2023-10-12,Late Delivery
O002726,2025-05-17,Quality Issue
O002730,2025-10-16,Quality Issue
O002746,2025-04-16,Late Delivery
O002748,2024-10-16,Damaged
O002751,2025-11-18,Damaged
O002754,2024-01-25,Quality Issue
O002774,2023-02-24,Wrong Product
O002802,2024-10-08,Wrong Product
O002829,2025-12-01,Customer Changed Mind
O002837,2025-10-31,Customer Changed Mind
O002847,2025-12-12,Customer Changed Mind
O002868,2023-08-15,Late Delivery
O002875,2023-08-11,Late Delivery
O002904,2025-06-08,Quality Issue
O002905,2023-03-19,Late Delivery
O002908,2025-07-07,Late Delivery
O002934,2023-05-03,Quality Issue
O002954,2024-11-17,Late Delivery
O002956,2023-01-22,Wrong Product
O002966,2023-05-15,Late Delivery
O002985,2023-02-01,Damaged
O002989,2025-01-01,Quality Issue
O002991,2024-11-28,Late Delivery
O002995,2025-05-31,Customer Changed Mind
O003002,2023-09-04,Customer Changed Mind
O003052,2025-04-19,Damaged
O003077,2024-04-14,Quality Issue
O003089,2025-06-09,Late Delivery
O003122,2025-06-19,Wrong Product
O003128,2023-08-19,Quality Issue
O003166,2025-11-15,Quality Issue
O003168,2025-04-03,Damaged
O003171,2024-03-28,Late Delivery
O003192,2024-08-03,Late Delivery
O003198,2023-02-12,Wrong Product
O003225,2023-08-30,Late Delivery
O003241,2024-07-21,Quality Issue
O003270,2025-04-01,Late Delivery
O003276,2023-05-14,Late Delivery
O003279,2025-11-24,Customer Changed Mind
O003284,2023-05-13,Wrong Product
O003290,2023-06-02,Customer Changed Mind
O003309,2024-07-02,Damaged
O003340,2023-03-04,Quality Issue
O003360,2025-03-10,Late Delivery
O003398,2026-01-06,Quality Issue
O003404,2024-04-14,Quality Issue
O003408,2024-12-12,Quality Issue
O003410,2025-06-15,Damaged
O003424,2025-03-18,Damaged
O003426,2023-10-07,Wrong Product
O003437,2024-07-27,Wrong Product
O003441,2024-12-13,Damaged
O003453,2024-02-25,Damaged
O003455,2025-06-22,Customer Changed Mind
O003469,2023-10-03,Customer Changed Mind
O003472,2024-01-15,Customer Changed Mind
O003500,2025-04-17,Customer Changed Mind
O003501,2023-07-08,Damaged
O003503,2024-10-11,Wrong Product
O003513,2025-10-05,Wrong Product
O003521,2024-04-12,Quality Issue
O003524,2023-04-27,Quality Issue
O003531,2024-09-29,Late Delivery
O003536,2023-07-07,Damaged
O003554,2025-01-08,Quality Issue
O003557,2023-05-01,Late Delivery
O003558,2025-03-30,Quality Issue
O003565,2023-09-11,Damaged
O003575,2025-09-25,Customer Changed Mind
O003604,2024-01-22,Quality Issue
O003621,2025-09-02,Late Delivery
O003647,2023-02-06,Damaged
O003663,2024-03-08,Damaged
O003678,2024-06-26,Late Delivery
O003687,2023-01-08,Customer Changed Mind
O003690,2023-02-24,Damaged
O003691,2023-03-28,Wrong Product
O003694,2023-09-21,Late Delivery
O003706,2023-02-19,Damaged
O003728,2024-01-15,Quality Issue
O003755,2024-07-07,Quality Issue
O003756,2023-09-25,Late Delivery
O003813,2025-12-18,Customer Changed Mind
O003816,2024-06-03,Customer Changed Mind
O003828,2025-02-28,Quality Issue
O003835,2023-10-20,Customer Changed Mind
O003838,2025-01-27,Wrong Product
O003840,2024-06-05,Damaged
O003858,2025-12-25,Wrong Product
O003871,2023-01-27,Quality Issue
O003888,2025-07-25,Wrong Product
O003896,2024-10-08,Damaged
O003909,2024-04-11,Late Delivery
O003920,2023-05-31,Late Delivery
O003934,2024-10-10,Wrong Product
O003935,2025-02-13,Wrong Product
O003946,2025-11-03,Customer Changed Mind
O003950,2026-01-05,Late Delivery
O003958,2023-10-16,Quality Issue
O003972,2026-01-12,Customer Changed Mind
O003984,2025-03-17,Wrong Product
O004005,2023-01-15,Wrong Product
O004027,2024-09-04,Damaged
O004065,2025-03-18,Wrong Product
O004069,2025-04-24,Wrong Product
O004088,2025-08-05,Late Delivery
O004089,2025-11-22,Wrong Product
O004146,2024-07-19,Quality Issue
O004153,2025-03-06,Wrong Product
O004159,2025-04-22,Customer Changed Mind
O004173,2023-06-29,Late Delivery
O004176,2025-01-29,Customer Changed Mind
O004180,2024-07-25,Damaged
O004188,2024-09-01,Quality Issue
O004189,2025-10-13,Wrong Product
O004191,2024-02-20,Wrong Product
O004198,2024-12-13,Damaged
O004200,2025-03-01,Damaged
O004209,2024-08-22,Damaged
O004219,2023-07-21,Customer Changed Mind
O004224,2024-02-07,Late Delivery
O004253,2023-11-28,Wrong Product
O004256,2024-05-27,Late Delivery
O004257,2023-02-26,Late Delivery
O004275,2023-02-06,Quality Issue
O004285,2024-08-12,Quality Issue
O004291,2024-10-16,Damaged
O004308,2024-10-23,Quality Issue
O004311,2024-12-31,Damaged
O004324,2025-10-26,Customer Changed Mind
O004343,2023-10-05,Customer Changed Mind
O004355,2024-08-16,Late Delivery
O004363,2023-05-04,Late Delivery
O004385,2023-06-03,Quality Issue
O004415,2023-10-04,Damaged
O004438,2024-12-14,Damaged
O004446,2023-05-17,Damaged
O004455,2024-02-12,Late Delivery
O004508,2025-12-26,Damaged
O004513,2024-09-06,Quality Issue
O004527,2023-08-09,Customer Changed Mind
O004528,2023-12-11,Late Delivery
O004535,2023-04-06,Wrong Product
O004544,2025-01-16,Damaged
O004553,2024-12-08,Damaged
O004583,2024-12-29,Late Delivery
O004585,2025-02-18,Damaged
O004592,2025-03-09,Damaged
O004597,2025-08-17,Wrong Product
O004600,2023-03-29,Damaged
O004632,2024-06-11,Quality Issue
O004639,2024-05-10,Damaged
O004644,2025-02-20,Customer Changed Mind
O004651,2025-01-26,Wrong Product
O004669,2025-10-09,Damaged
O004671,2023-09-02,Customer Changed Mind
O004676,2023-08-21,Quality Issue
O004708,2024-12-06,Wrong Product
O004712,2024-03-10,Quality Issue
O004713,2025-08-29,Wrong Product
O004718,2024-05-20,Wrong Product
O004726,2025-01-19,Damaged
O004728,2023-02-23,Late Delivery
O004751,2024-05-23,Wrong Product
O004752,2024-04-20,Quality Issue
O004755,2025-03-14,Customer Changed Mind
O004771,2024-06-16,Late Delivery
O004773,2024-08-07,Damaged
O004800,2023-10-22,Quality Issue
O004802,2024-04-26,Quality Issue
O004805,2024-09-17,Quality Issue
O004822,2025-11-30,Damaged
O004827,2024-01-18,Quality Issue
O004835,2024-04-03,Quality Issue
O004887,2024-08-25,Damaged
O004901,2025-10-17,Customer Changed Mind
O004904,2023-07-01,Late Delivery
O004905,2024-04-26,Damaged
O004910,2023-04-14,Damaged
O004924,2025-11-17,Damaged
O004935,2024-12-20,Damaged
O004940,2025-10-17,Late Delivery
O004945,2025-12-04,Quality Issue
O004948,2023-07-07,Late Delivery
O004971,2024-06-15,Quality Issue
O005011,2024-07-10,Wrong Product
O005022,2024-02-24,Quality Issue
O005036,2023-07-25,Quality Issue
O005042,2024-11-03,Late Delivery
O005043,2025-03-26,Damaged
O005049,2023-04-05,Damaged
O005052,2025-06-24,Damaged
O005079,2025-03-17,Customer Changed Mind
O005090,2025-02-05,Customer Changed Mind
O005106,2025-10-06,Late Delivery
O005110,2024-03-13,Quality Issue
O005118,2024-08-11,Late Delivery
O005130,2024-10-03,Customer Changed Mind
O005148,2025-07-03,Customer Changed Mind
O005150,2023-05-07,Damaged
O005157,2023-09-11,Customer Changed Mind
O005183,2025-08-27,Wrong Product
O005230,2025-01-03,Late Delivery
O005231,2024-06-23,Customer Changed Mind
O005232,2023-12-22,Customer Changed Mind
O005246,2024-12-13,Late Delivery
O005251,2025-03-13,Customer Changed Mind
O005269,2024-10-24,Late Delivery
O005284,2024-11-21,Wrong Product
O005287,2023-09-23,Wrong Product
O005334,2023-12-01,Damaged
O005344,2023-10-01,Wrong Product
O005346,2023-08-21,Customer Changed Mind
O005350,2024-09-01,Wrong Product
O005357,2023-01-17,Wrong Product
O005404,2025-04-19,Wrong Product
O005479,2024-04-21,Quality Issue
O005486,2024-09-03,Late Delivery
O005528,2024-03-19,Quality Issue
O005532,2023-05-08,Damaged
O005534,2025-10-02,Customer Changed Mind
O005546,2023-04-12,Damaged
O005553,2025-11-07,Damaged
O005557,2024-04-01,Damaged
O005570,2025-09-26,Late Delivery
O005571,2024-12-17,Customer Changed Mind
O005574,2025-12-13,Damaged
O005577,2024-09-13,Damaged
O005586,2023-09-05,Damaged
O005588,2025-08-02,Damaged
O005613,2023-03-01,Customer Changed Mind
O005615,2024-07-11,Damaged
O005645,2025-08-28,Wrong Product
O005663,2025-10-28,Damaged
O005678,2023-06-21,Quality Issue
O005743,2025-01-18,Customer Changed Mind
O005756,2025-04-08,Late Delivery
O005759,2025-01-25,Quality Issue
O005775,2024-08-24,Customer Changed Mind
O005784,2024-02-19,Damaged
O005818,2024-01-20,Late Delivery
O005845,2025-02-25,Quality Issue
O005872,2024-08-27,Customer Changed Mind
O005877,2024-06-11,Damaged
O005879,2023-03-22,Wrong Product
O005884,2024-05-15,Wrong Product
O005891,2024-04-22,Damaged
O005892,2025-06-26,Wrong Product
O005913,2025-10-03,Wrong Product
O005927,2025-04-13,Quality Issue
O005934,2024-09-22,Customer Changed Mind
O005936,2025-04-27,Quality Issue
O005948,2023-07-16,Damaged
O005957,2023-12-31,Customer Changed Mind
O005965,2025-04-17,Wrong Product
O005970,2024-12-10,Wrong Product
O005972,2023-12-27,Wrong Product
O005980,2025-04-09,Customer Changed Mind
O005981,2025-03-10,Quality Issue
O005997,2024-04-19,Quality Issue
O005998,2026-01-04,Wrong Product
O006015,2023-12-29,Quality Issue
O006017,2023-04-16,Wrong Product
O006025,2023-06-13,Wrong Product
O006053,2025-07-03,Customer Changed Mind
O006074,2025-04-17,Damaged
O006075,2023-08-14,Quality Issue
O006079,2025-04-06,Damaged
O006093,2024-02-09,Wrong Product
O006095,2025-06-20,Damaged
O006155,2025-10-24,Late Delivery
O006156,2023-08-26,Quality Issue
O006190,2023-07-06,Damaged
O006191,2023-07-13,Damaged
O006194,2024-07-17,Customer Changed Mind
O006201,2024-01-12,Quality Issue
O006203,2023-08-08,Wrong Product
O006204,2025-02-20,Wrong Product
O006223,2023-01-21,Damaged
O006224,2025-10-20,Late Delivery
O006227,2024-12-17,Customer Changed Mind
O006251,2023-08-22,Damaged
O006253,2025-11-06,Damaged
O006258,2024-02-20,Quality Issue
O006266,2024-06-11,Wrong Product
O006285,2025-10-24,Late Delivery
O006297,2025-01-30,Quality Issue
O006317,2024-12-01,Late Delivery
O006376,2025-07-21,Customer Changed Mind
O006393,2025-05-25,Customer Changed Mind
O006402,2025-03-26,Late Delivery
O006420,2023-08-28,Damaged
O006421,2024-04-29,Late Delivery
O006430,2023-06-12,Quality Issue
O006436,2025-03-20,Quality Issue
O006451,2024-11-09,Customer Changed Mind
O006455,2023-01-11,Late Delivery
O006506,2025-04-22,Damaged
O006518,2025-06-14,Customer Changed Mind
O006565,2024-09-18,Wrong Product
O006581,2025-09-17,Damaged
O006616,2024-12-02,Late Delivery
O006633,2023-03-07,Customer Changed Mind
O006650,2023-05-02,Wrong Product
O006705,2023-08-21,Customer Changed Mind
O006725,2024-07-28,Late Delivery
O006729,2023-07-12,Late Delivery
O006737,2025-08-18,Wrong Product
O006759,2023-05-03,Damaged
O006780,2025-07-04,Damaged
O006797,2025-05-06,Quality Issue
O006817,2025-04-21,Late Delivery
O006850,2025-11-23,Damaged
O006856,2023-09-28,Late Delivery
O006861,2025-05-16,Quality Issue
O006862,2023-12-06,Quality Issue
O006864,2024-02-11,Late Delivery
O006879,2024-03-04,Quality Issue
O006887,2024-11-06,Damaged
O006917,2025-06-11,Late Delivery
O006932,2024-02-05,Quality Issue
O006935,2023-04-16,Customer Changed Mind
O006939,2026-01-08,Damaged
O006951,2025-06-16,Customer Changed Mind
O006979,2024-11-04,Customer Changed Mind
O006982,2025-03-28,Quality Issue
O007014,2023-12-23,Wrong Product
O007016,2024-07-21,Damaged
O007035,2025-05-22,Wrong Product
O007036,2024-03-15,Damaged
O007054,2023-03-25,Damaged
O007059,2024-01-07,Damaged
O007070,2025-08-23,Wrong Product
O007093,2024-08-31,Quality Issue
O007112,2023-05-23,Damaged
O007116,2024-11-09,Quality Issue
O007145,2024-07-02,Quality Issue
O007158,2025-07-22,Damaged
O007173,2024-08-10,Quality Issue
O007186,2023-10-28,Wrong Product
O007192,2024-10-04,Customer Changed Mind
O007196,2025-03-11,Damaged
O007216,2024-08-21,Quality Issue
O007220,2023-06-11,Wrong Product
O007231,2025-06-28,Late Delivery
O007255,2025-07-07,Damaged
O007258,2024-11-20,Wrong Product
O007285,2024-04-21,Damaged
O007300,2025-12-24,Late Delivery
O007314,2024-11-04,Customer Changed Mind
O007328,2025-01-27,Late Delivery
O007388,2024-11-16,Damaged
O007392,2024-03-01,Wrong Product
O007405,2023-05-22,Damaged
O007419,2025-09-07,Wrong Product
O007462,2025-06-20,Customer Changed Mind
O007482,2025-05-04,Late Delivery
O007499,2024-03-22,Wrong Product
O007510,2025-06-02,Damaged
O007517,2025-10-08,Late Delivery
O007521,2023-01-19,Damaged
O007522,2023-02-03,Customer Changed Mind
O007536,2023-03-22,Quality Issue
O007585,2024-04-22,Late Delivery
O007641,2025-03-08,Wrong Product
O007647,2023-10-09,Damaged
O007719,2024-04-12,Quality Issue
O007723,2024-04-24,Late Delivery
O007733,2024-02-23,Late Delivery
O007744,2025-01-29,Wrong Product
O007766,2023-05-07,Damaged
O007768,2024-06-16,Customer Changed Mind
O007771,2023-06-13,Late Delivery
O007776,2023-03-09,Damaged
O007807,2023-06-22,Customer Changed Mind
O007833,2024-05-24,Quality Issue
O007839,2024-06-27,Quality Issue
O007855,2024-09-17,Wrong Product
O007856,2025-11-26,Wrong Product
O007870,2024-12-07,Wrong Product
O007888,2025-12-19,Damaged
O007896,2023-04-20,Damaged
O007898,2024-05-08,Quality Issue
O007903,2025-02-23,Customer Changed Mind
O007926,2024-03-14,Late Delivery
O007943,2023-04-17,Wrong Product
O007944,2026-01-06,Customer Changed Mind
O007965,2023-05-27,Quality Issue
O007972,2025-04-29,Wrong Product
O007985,2025-03-16,Customer Changed Mind
O007996,2025-08-04,Damaged
O008001,2025-11-22,Quality Issue
O008037,2024-04-29,Wrong Product
O008069,2025-11-23,Customer Changed Mind
O008079,2025-10-14,Late Delivery
O008085,2023-11-09,Wrong Product
O008100,2025-10-06,Late Delivery
O008105,2025-08-20,Damaged
O008108,2024-11-17,Quality Issue
O008129,2023-12-03,Damaged
O008132,2023-10-10,Customer Changed Mind
O008154,2024-03-19,Customer Changed Mind
O008157,2023-05-31,Damaged
O008158,2024-08-28,Customer Changed Mind
O008162,2023-08-11,Late Delivery
O008163,2023-05-29,Late Delivery
O008166,2023-03-21,Damaged
O008168,2024-05-31,Wrong Product
O008198,2024-03-23,Quality Issue
O008201,2024-05-04,Customer Changed Mind
O008203,2025-11-15,Customer Changed Mind
O008214,2024-11-08,Quality Issue
O008236,2025-10-13,Wrong Product
O008264,2025-07-25,Quality Issue
O008269,2025-02-07,Customer Changed Mind
O008274,2024-02-17,Late Delivery
O008338,2023-04-30,Wrong Product
O008343,2025-03-22,Quality Issue
O008349,2023-10-12,Late Delivery
O008361,2025-07-30,Wrong Product
O008381,2024-09-30,Customer Changed Mind
O008392,2025-01-29,Wrong Product
O008394,2025-09-12,Quality Issue
O008395,2024-10-03,Late Delivery
O008403,2025-04-16,Wrong Product
O008426,2023-06-15,Quality Issue
O008435,2023-04-04,Damaged
O008460,2023-06-23,Quality Issue
O008467,2025-07-16,Late Delivery
O008472,2023-02-21,Late Delivery
O008476,2023-11-29,Customer Changed Mind
O008503,2025-11-01,Quality Issue
O008518,2023-02-12,Late Delivery
O008519,2024-08-07,Wrong Product
O008530,2025-10-30,Damaged
O008617,2025-06-13,Customer Changed Mind
O008622,2023-01-20,Customer Changed Mind
O008634,2024-02-25,Quality Issue
O008637,2025-01-17,Customer Changed Mind
O008642,2024-12-16,Damaged
O008645,2025-05-29,Wrong Product
O008668,2023-01-31,Late Delivery
O008670,2023-11-26,Late Delivery
O008678,2024-10-02,Wrong Product
O008700,2024-01-03,Damaged
O008713,2023-08-05,Damaged
O008727,2023-06-14,Customer Changed Mind
O008745,2023-09-11,Customer Changed Mind
O008802,2023-04-12,Customer Changed Mind
O008812,2024-08-09,Late Delivery
O008853,2025-05-25,Wrong Product
O008866,2024-01-30,Customer Changed Mind
O008938,2023-03-28,Damaged
O008942,2023-11-20,Damaged
O008945,2024-12-27,Damaged
O008949,2024-05-13,Wrong Product
O008989,2024-07-31,Quality Issue
O009044,2023-10-26,Wrong Product
O009045,2024-03-26,Damaged
O009076,2024-01-23,Late Delivery
O009100,2024-02-12,Late Delivery
O009104,2024-05-26,Wrong Product
O009117,2025-01-30,Late Delivery
O009143,2025-06-01,Damaged
O009151,2023-10-24,Customer Changed Mind
O009163,2023-08-23,Wrong Product
O009165,2023-06-28,Late Delivery
O009189,2025-03-29,Wrong Product
O009191,2025-06-12,Wrong Product
O009198,2023-09-18,Quality Issue
O009203,2025-03-22,Quality Issue
O009208,2025-10-18,Quality Issue
O009216,2024-11-04,Late Delivery
O009238,2024-03-31,Wrong Product
O009247,2025-02-18,Late Delivery
O009249,2025-09-23,Customer Changed Mind
O009278,2025-02-19,Quality Issue
O009291,2024-09-04,Wrong Product
O009307,2024-09-25,Quality Issue
O009309,2024-08-24,Damaged
O009314,2025-06-09,Quality Issue
O009319,2024-02-14,Damaged
O009336,2024-11-29,Damaged
O009338,2023-02-20,Customer Changed Mind
O009342,2024-03-10,Late Delivery
O009346,2025-12-23,Quality Issue
O009348,2023-08-11,Late Delivery
O009398,2025-10-13,Damaged
O009403,2025-03-04,Wrong Product
O009465,2025-11-23,Late Delivery
O009468,2023-06-24,Wrong Product
O009470,2023-12-30,Late Delivery
O009471,2024-01-01,Customer Changed Mind
O009481,2024-02-19,Customer Changed Mind
O009521,2023-12-08,Quality Issue
O009554,2025-12-16,Customer Changed Mind
O009555,2024-01-09,Wrong Product
O009557,2024-06-20,Late Delivery
O009573,2023-09-23,Quality Issue
O009580,2025-06-28,Quality Issue
O009590,2025-12-23,Late Delivery
O009598,2024-09-22,Customer Changed Mind
O009616,2025-04-19,Late Delivery
O009628,2025-08-26,Wrong Product
O009635,2023-12-07,Wrong Product
O009643,2024-04-11,Quality Issue
O009646,2024-05-27,Quality Issue
O009648,2024-09-25,Damaged
O009652,2023-11-03,Late Delivery
O009657,2024-04-19,Quality Issue
O009664,2025-05-31,Damaged
O009669,2024-01-18,Damaged
O009672,2024-02-01,Late Delivery
O009683,2024-09-27,Late Delivery
O009686,2023-06-19,Customer Changed Mind
O009693,2023-08-10,Late Delivery
O009697,2024-10-10,Damaged
O009706,2023-03-18,Wrong Product
O009708,2024-01-18,Quality Issue
O009730,2025-08-31,Late Delivery
O009744,2023-09-13,Damaged
O009745,2023-03-26,Customer Changed Mind
O009789,2024-08-29,Wrong Product
O009799,2025-05-19,Customer Changed Mind
O009807,2023-03-19,Damaged
O009812,2025-10-16,Damaged
O009815,2023-08-07,Customer Changed Mind
O009839,2023-09-05,Quality Issue
O009881,2025-08-05,Wrong Product
O009886,2024-11-02,Damaged
O009888,2023-12-25,Damaged
O009898,2024-06-22,Customer Changed Mind
O009904,2025-04-18,Wrong Product
O009931,2024-12-21,Damaged
O009950,2025-10-29,Wrong Product
O010008,2025-07-05,Late Delivery
O010012,2023-02-02,Late Delivery
O010026,2024-08-21,Quality Issue
O010031,2024-04-27,Damaged
O010033,2023-11-02,Late Delivery
O010068,2023-01-22,Late Delivery
O010071,2024-06-18,Late Delivery
O010080,2024-09-26,Damaged
O010102,2024-02-01,Wrong Product
O010110,2025-07-11,Late Delivery
O010124,2023-11-29,Late Delivery
O010143,2023-03-18,Quality Issue
O010161,2023-09-02,Damaged
O010166,2025-11-17,Wrong Product
O010189,2025-11-23,Quality Issue
O010190,2025-04-02,Wrong Product
O010193,2024-10-21,Damaged
O010203,2024-10-19,Damaged
O010206,2024-02-21,Wrong Product
O010210,2023-05-11,Late Delivery
O010218,2024-08-10,Damaged
O010221,2023-11-11,Wrong Product
O010236,2025-10-31,Late Delivery
O010250,2024-06-14,Damaged
O010264,2025-03-06,Customer Changed Mind
O010286,2023-11-15,Customer Changed Mind
O010291,2025-06-09,Damaged
O010300,2025-04-05,Customer Changed Mind
O010311,2023-07-26,Damaged
O010340,2023-01-31,Wrong Product
O010356,2023-08-07,Late Delivery
O010357,2025-11-05,Damaged
O010384,2025-12-23,Late Delivery
O010386,2024-12-04,Wrong Product
O010406,2025-05-04,Quality Issue
O010419,2024-01-28,Quality Issue
O010450,2024-01-10,Late Delivery
O010502,2023-03-08,Customer Changed Mind
